Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[altitude]	Unit	Term Source REF	Term Accession Number	Protocol REF	Comment[accession ID]	Sample Name	Factor Value[seed collection location]	Factor Value[strain origin]
Arabidopsis seeds from Muehen, Poland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Poland	GAZ	GAZ:00002939	53.31	degree	UO	UO:0000185	20.12	degree	UO	UO:0000185	193.2	meter	UO	UO:0000008	Plant material and sample preparation	CS28493	Mh-1	Muehen (OstPr), Poland	wild type
Arabidopsis seeds from Lousa, Portugal	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Portuguese Republic	GAZ	GAZ:00002944	40.11	degree	UO	UO:0000185	-8.244	degree	UO	UO:0000185	146.9	meter	UO	UO:0000008	Plant material and sample preparation	CS76106	C24	Lousa, Portugal	wild type
Arabidopsis seeds from Coimbra, Portugal	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Portuguese Republic	GAZ	GAZ:00002944	40.2	degree	UO	UO:0000185	-8.42	degree	UO	UO:0000185	146.9	meter	UO	UO:0000008	Plant material and sample preparation	CS28164	Co-3	Coimbra, Portugal	wild type
Arabidopsis seeds from Burren, Ireland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Republic of Ireland	GAZ	GAZ:00002943	53.2	degree	UO	UO:0000185	-8.98	degree	UO	UO:0000185	186.2	meter	UO	UO:0000008	Plant material and sample preparation	CS76105	Bur-0	Burren (Eire), ireland	wild type
Arabidopsis seeds from Russia	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Russia	GAZ	GAZ:00002721	55.45	degree	UO	UO:0000185	37.35	degree	UO	UO:0000185	186.3	meter	UO	UO:0000008	Plant material and sample preparation	CS28206	Dijon-M	Russia	wild type
Arabidopsis seeds from Petergof, Russia	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Russia	GAZ	GAZ:00002721	59.87	degree	UO	UO:0000185	29.91	degree	UO	UO:0000185	153.3	meter	UO	UO:0000008	Plant material and sample preparation	CS76211	Petergof	Petergof, Russia	wild type
Arabidopsis seeds from Rschew Starize, Russia	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Russia	GAZ	GAZ:00002721	56.2	degree	UO	UO:0000185	34.3	degree	UO	UO:0000185	231.7	meter	UO	UO:0000008	Plant material and sample preparation	CS28715	Rsch-0	Rschew/Starize, Russia	wild type
Arabidopsis seeds from Stobowa Orel, Russia	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Russia	GAZ	GAZ:00002721	52	degree	UO	UO:0000185	36	degree	UO	UO:0000185	217	meter	UO	UO:0000008	Plant material and sample preparation	CS76605	Stw-0	Stobowa/Orel, Russia	wild type
Arabidopsis seeds from Wassilewskija, Russia	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Russia	GAZ	GAZ:00002721	52.3	degree	UO	UO:0000185	30	degree	UO	UO:0000185	129	meter	UO	UO:0000008	Plant material and sample preparation	CS76303	Ws-0	Wassilewskija, Russia	wild type
Arabidopsis seeds from Cape Verdi Islands, Senegal	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Senegal	GAZ	GAZ:00000913	15.11	degree	UO	UO:0000185	-23.62	degree	UO	UO:0000185	1150	meter	UO	UO:0000008	Plant material and sample preparation	CS76116	Cvi-0	Cape Verdi Islands, Senegal	wild type
Arabidopsis seeds from Lovvik, Sweden	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Sweden	GAZ	GAZ:00002729	62.8	degree	UO	UO:0000185	18.08	degree	UO	UO:0000185	2.6	meter	UO	UO:0000008	Plant material and sample preparation	CS76175	Lov-5	Lovvik, Sweden	wild type
Arabidopsis seeds from Lund, Sweden	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Sweden	GAZ	GAZ:00002729	55.7	degree	UO	UO:0000185	13.2	degree	UO	UO:0000185	13.1	meter	UO	UO:0000008	Plant material and sample preparation	CS77056	Lu	Lund, Sweden	wild type
Arabidopsis seeds from Stockholm, Sweden	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Sweden	GAZ	GAZ:00002729	59	degree	UO	UO:0000185	18	degree	UO	UO:0000185	76.7	meter	UO	UO:0000008	Plant material and sample preparation	CS76231	St-0	Stockholm, Sweden	wild type
Arabidopsis seeds from Champex, Switzerland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Switzerland	GAZ	GAZ:00002941	46.02	degree	UO	UO:0000185	7.07	degree	UO	UO:0000185	1973.8	meter	UO	UO:0000008	Plant material and sample preparation	CS28133	Cha-0	Champex, Switzerland	wild type
Arabidopsis seeds from Weiningen, Switzerland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Switzerland	GAZ	GAZ:00002941	47.41	degree	UO	UO:0000185	8.42	degree	UO	UO:0000185	529.4	meter	UO	UO:0000008	Plant material and sample preparation	CS28817	Wei-1	Weiningen, Switzerland	wild type
